"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Artificial Intelligence, Policing and Ethics – a best practice model for AI enabled policing in Australia","H. Harris; A. Burke","School of Law, Macquarie University, Sydney, Australia; School of Law, Macquarie University, Sydney, Australia","2021 IEEE 25th International Enterprise Distributed Object Computing Workshop (EDOCW)","1 Dec 2021","2021","","","53","58","The application of Artificial Intelligence (AI) to policing processes and practices has transformative potential. Despite its potential, utilising AI for policing also comes with risks and challenges. The objective of this article is to provide a starting point for the development of a best practice model for the application of AI to policing in Australia. Such a best practice model would be the first of its kind and could put Australian police departments at the forefront of AI application – enabling Australian police to deploy AI in a way that has broad stake-holder support, maximising effectiveness and ensuring ethical concerns are adequately addressed","2325-6605","978-1-6654-4488-0","10.1109/EDOCW52865.2021.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9626315","Artificial Intelligence;law;policing;best practice;governance","Ethics;Law enforcement;Conferences;Computational modeling;Australia;Artificial intelligence;Best practices","","","","41","IEEE","1 Dec 2021","","","IEEE","IEEE Conferences"
"Energy Saving Technologies and Best Practices for 5G Radio Access Network","R. Tan; Y. Shi; Y. Fan; W. Zhu; T. Wu","China Telecom Research Institute, Guangzhou, China; China Telecom Research Institute, Guangzhou, China; Shanghai Research Institute, ZTE Corporation, Shanghai, China; China Mobile Group, Design Institute Company Ltd., Beijing, China; National Institute of Metrology, Beijing, China","IEEE Access","18 May 2022","2022","10","","51747","51756","This article identifies energy-saving potential of the fifth generation (5G) Radio Access Network, and describes main energy-saving principles and technologies. It explores how to use network energy saving technologies, such as carrier shutdown, channel shutdown, and symbol shutdown in 5G network, that have been inherited from 4G. Some enhanced technologies for 5G like equipment deep sleep and symbol aggregation have also been introduced in this article. However, it is far from enough and an innovative energy-saving solution should be considered. To meet the requirements and development of intelligent and self-adaptive energy-saving solution, Artificial Intelligence (AI) and big data analysis are introduced to form a more precise energy-saving strategy based on site-specific traffic and site-related conditions, thus improving the efficiency and reducing the manpower. Finally, two commercial application practices of AI-based energy-saving solution are elaborated. One is the practice of AI-based service awareness energy saving for 4G/5G collaborative networks, the energy benefits can be improved up to 20%; The other practice is the adoption of a new architecture Active Antenna Unit (AAU) with beam pattern optimization, its energy benefits can be promoted by 30%. These two practices could help mobile network operators (MNOs) to achieve the most energy-efficient network with good network performance and lower Operating Expense (OPEX).","2169-3536","","10.1109/ACCESS.2022.3174089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9772655","5G;artificial intelligence;base station;energy efficiency;energy saving;radio access network","5G mobile communication;Symbols;Power demand;Artificial intelligence;Time-domain analysis;Radio frequency;Base stations","","9","","20","CCBYNCND","11 May 2022","","","IEEE","IEEE Journals"
"AI Living Lab: Quality Assurance for AI-based Health systems","V. Lenarduzzi; M. Isomursu",University of Oulu; University of Oulu,"2023 IEEE/ACM 2nd International Conference on AI Engineering – Software Engineering for AI (CAIN)","4 Jul 2023","2023","","","86","87","The main goal of this project is to develop an AI Living Lab providing methods and software tools for AI trustworthiness analysis, running digital twins to simulate Digital Health solutions (Hardware and Software) integrated with AI elements in vitro for early-stage validation experiments. In this paper, we present the motivation beyond the need of a AI Living Lab methods for researchers and companies, our idea in practice, and the scheduled roadmap. The insights of the AI Living Lab can enable researchers to understand possible problems on the quality of AI-enabled systems opening new research topics and allows companies to understand how to better address quality issues in their systems.","","979-8-3503-0113-7","10.1109/CAIN58948.2023.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164757","Artificial Intelligence;Machine Learning;Soft-ware Quality;Software Engineering;Health","Quality assurance;Companies;Hardware;Electronic healthcare;Digital twins;Artificial intelligence;Software tools","","","","4","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"Artificial Intelligence (AI) based Detection of Traffic Violations by Two-Wheeler Vehicles","M. Bala Kishore; I. Srinivasa Reddy; L. Sujihelen; A. Sivasangari; A. Christy","Department of CSE, Sathyabama Institute of Science and Technology; Department of CSE, Sathyabama Institute of Science and Technology; Department of CSE, Sathyabama Institute of Science and Technology; Department of IT, Sathyabama Institute of Science and Technology; Department of CSE, Sathyabama Institute of Science and Technology","2023 7th International Conference on Intelligent Computing and Control Systems (ICICCS)","8 Jun 2023","2023","","","1788","1792","Increasing commuters, bad traffic signal management, and rider mentality are some of the factors contributing to traffic violations in India. Monitoring large traffic volumes physically and tracking violations at the same time is clearly insufficient with only physical traffic police. The result has been that many violators have gone undetected. By violating the traffic laws, the violators cause more serious mishaps on the road, thereby putting both themselves and others in danger. To avoid manual intervention in detecting and catching violators, Artificial Intelligence (AI)-based techniques should be incorporated. This research study demonstrates a novel technique to discover multiple offences on Indian roads electronically, which include helmet detection, using a smartphone while driving, tri cruising, wheeling, and parking illegally, and ultimately model the issuing of tickets by monitoring the infractions and affiliated car number together in record. Through all the automated AI-based traffic offense and booking system, the software will be extremely beneficial in determining diverse safety-related guidelines, facilitating in the imposing of harsher traffic restrictions, and fostering the development of such a green technology atmosphere.","2768-5330","979-8-3503-9725-3","10.1109/ICICCS56967.2023.10142605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142605","AI-Based;Detection;YOLO-V4;Object-bounding","Head;Law enforcement;Roads;Manuals;Software;Safety;Artificial intelligence","","","","15","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Hybrid AI-based Control Strategy for a Full-Vehicle Semi-Active Suspension System Equipped with MR Dampers","A. R. B. Ahmadi; M. S. Panahi; M. Ayati","School of Mechanical Engineering College of Engineering, University of Tehran, Tehran, Iran; School of Mechanical Engineering College of Engineering, University of Tehran, Tehran, Iran; School of Mechanical Engineering College of Engineering, University of Tehran, Tehran, Iran","2022 10th RSI International Conference on Robotics and Mechatronics (ICRoM)","1 Feb 2023","2022","","","433","438","This paper’s goal is to design a hybrid AI-based controller for a MR-damped semi-active suspension system using a seven-degree-of-freedom model to enhance ride comfort by mitigating the acceleration exerted on the passenger. A fuzzy-logic control strategy is employed to determine the desired force required to be applied to the vehicle body. Also, a recurrent neural network was developed to predict the input voltage of the damper required to generate its actual force. The fuzzy controller rules are designed based on minimizing the vehicle body acceleration. The neural network is trained using the synthetic data produced from the modified Bouc-Wen model. The performance of the proposed hybrid AI-based method was evaluated by applying it to a full suspension system model incorporating an MR damper model with 7-DOF riding on a bumpy road. Based on various simulations, the effectiveness of the proposed strategy is proved by calculating RMS values of the vertical body acceleration, angular acceleration, and the vertical displacement of body center mass.","2572-6889","978-1-6654-5452-0","10.1109/ICRoM57054.2022.10025306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10025306","semi-active suspension system;MR damper;AI-based control;fuzzy control;recurrent neural networks;NARX;vibration control","Damping;Recurrent neural networks;Mechatronics;Roads;Force;Control systems;Shock absorbers","","","","9","IEEE","1 Feb 2023","","","IEEE","IEEE Conferences"
"How Well Can Masked Language Models Spot Identifiers That Violate Naming Guidelines?","J. Villmow; V. Campos; J. Petry; A. Abbad-Andaloussi; A. Ulges; B. Weber","RheinMain University of Applied Sciences, Wiesbaden, Germany; RheinMain University of Applied Sciences, Wiesbaden, Germany; RheinMain University of Applied Sciences, Wiesbaden, Germany; University of St. Gallen, St. Gallen, Switzerland; RheinMain University of Applied Sciences, Wiesbaden, Germany; University of St. Gallen, St. Gallen, Switzerland","2023 IEEE 23rd International Working Conference on Source Code Analysis and Manipulation (SCAM)","20 Dec 2023","2023","","","131","142","Using meaningful identifiers in source code reduces the risk of errors, the cognitive load of developers, and speeds up the development process. Therefore, recent research has looked into an AI-based analysis of identifiers, for which large-scale language models appear to offer great potential. Based on tokens’ probabilities, such models can suggest identifiers that are likely to appear in a given context. While current research has used language models to predict the most likely identifier names, studies on assessing the quality of given identifiers are scarce. To this end, we explore adherence to identifier naming guidelines as a proxy for identifier quality and propose and evaluate two unsupervised approaches for spotting violations: First, a generative approach, which uses the probability distribution of the language model directly without fine-tuning. Second, a discriminative method, which fine-tunes the model’s encoder to discriminate between original identifiers and similar drop-in replacements suggested by a weak AI. We demonstrate that the proposed approaches can successfully detect violations of common guidelines for identifier naming. To do so, we have developed a dataset built on widely accepted identifier naming guidelines. The manually annotated dataset contains more than 6000 dense annotations of identifiers for 28 common guidelines. Using the data, we show that the generative approach achieves the best results, but that the particular masking strategy and scoring method matter substantially. Also, we demonstrate our approach to outperform other recent code transformers. In a per-guideline analysis, we highlight the potential and limitations of language models, and provide a blue-print for training and evaluating their ability to identify bad identifier names in source code. We make our dataset and models’ implementation publicly available to encourage future research on AI-based identifier quality assessment.","2470-6892","979-8-3503-0506-7","10.1109/SCAM59687.2023.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10356698","Masked Language Models;Source Code Identfiers;Naming Guidelines;Code Quality;Identfier Quality Assessment;Generative Approaches;Language Model Fine-tuning;Code Transformers;AI-based Code Analysis","Training;Analytical models;Computer languages;Codes;Source coding;Training data;Transformers","","","","54","IEEE","20 Dec 2023","","","IEEE","IEEE Conferences"
"AI Empowered Resource Management for Future Wireless Networks","Y. Shen; J. Zhang; S. H. Song; K. B. Letaief","Dept. of ECE, The Hong Kong University of Science and Technology, Hong Kong; Dept. of EIE, The Hong Kong Polytechnic University, Hong Kong; Dept. of ECE, The Hong Kong University of Science and Technology, Hong Kong; Dept. of ECE, The Hong Kong University of Science and Technology, Hong Kong","2021 IEEE International Mediterranean Conference on Communications and Networking (MeditCom)","23 Dec 2021","2021","","","252","257","Resource management plays a pivotal role in wireless networks, which, unfortunately, leads to challenging NP-hard problems. Artificial Intelligence (AI), especially deep learning techniques, has recently emerged as a disruptive technology to solve such challenging problems in a real-time manner. However, although promising results have been reported, practical design guidelines and performance guarantees of AI-based approaches are still missing. In this paper, we endeavor to address two fundamental questions: 1) What are the main advantages of AI-based methods compared with classical techniques; and 2) Which learning method should we choose for a given resource management task. For the first question, four advantages are identified and discussed. For the second question, optimality gap, i.e., the gap to the optimal performance, is proposed as a measure for selecting model architectures, as well as, for enabling a theoretical comparison between different AI-based approaches. Specifically, for K-user interference management problem, we theoretically show that graph neural networks (GNNs) are superior to multi-layer perceptrons (MLPs), and the performance gap between these two methods grows with $\sqrt K $.","","978-1-6654-4505-4","10.1109/MeditCom49071.2021.9647580","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647580","Resource management;wireless networks;interpretable neural networks;deep learning;PAC-learning","Training;Learning systems;Systematics;NP-hard problem;Wireless networks;Design methodology;Interference","","9","","42","IEEE","23 Dec 2021","","","IEEE","IEEE Conferences"
"Contactless Temperature Detection of Multiple People and Detection of Possible Corona Virus Affected Persons Using AI Enabled IR Sensor Camera","A. M.; S. K.; S. K. R.; Y. I.","Department of Electronics and Communication Engineering, IFET College of Engineering, Villupuram, India; Department of Electronics and Communication Engineering, IFET College of Engineering, Villupuram, India; Department of Electronics and Communication Engineering, IFET College of Engineering, Villupuram, India; Department of Electronics and Communication Engineering, IFET College of Engineering, Villupuram, India","2021 Sixth International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)","11 May 2021","2021","","","166","170","Today our whole world is entangled with the most dreadful disease Corona which is caused by the successor of SARS known as SARS-Cov-2 virus. Coronavirus is the influenza-like respiratory disease causing damage to the respiratory system of the humans through the ACE2 receptors which acts as an entry gate for the virus to enter. The Corona virus was identified in late 2019 in the city of Wuhan, China which later spread to the most of the territories in China. The spread was first identified by the Bluedot which is a Saas service designed to track and detect the spread of infectious disease. When the other countries came to know the severity of the virus they made various steps to prevent the spread of the virus. The initial symptoms of coronavirus are rise in temperature, loss of taste and smell and short breathness. As the entry level check many institutions and offices, checks the body temperature of the people and checks whether the person is wearing a mask or not. To make this process fully automatic without human intervention the use of AI enabled IR camera sensor with the Arduino UNO is made. The detection of temperature can be made possible by the use of the computer leveraging vision techniques which is equipped with the Raspberry-pi camera module. The process is based on the thermal imaging of the person which can detect the elevated temperature of the person and prevents them from entering into the institution or offices thereby the spread due to the possibly affected persons can be avoided thereby the spread can be controlled. The system not only identifies the person with high temperature but also checks whether the person is wearing a mask or not. The real time analysis of the system is the major advantage of the proposed system.","","978-1-6654-4086-8","10.1109/WiSPNET51692.2021.9419439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9419439","AI enabled IR camera sensors;Arduino;Raspberry-pi camera module;body temperature;contactless temperature detection;real time analysis","Temperature sensors;COVID-19;Wireless communication;Urban areas;Signal processing;Cameras;Coronaviruses","","3","","23","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"DyReT: A Dynamic Rule Framing Engine Equipped With Trust Management for Vehicular Networks","H. El-Sayed; H. Alexander; M. A. Khan; P. Kulkarni; S. Bouktif","Collage of Information Technology, United Arab Emirates University (UAEU), Al Ain, United Arab Emirates; Collage of Information Technology, United Arab Emirates University (UAEU), Al Ain, United Arab Emirates; Collage of Information Technology, United Arab Emirates University (UAEU), Al Ain, United Arab Emirates; Collage of Information Technology, United Arab Emirates University (UAEU), Al Ain, United Arab Emirates; Collage of Information Technology, United Arab Emirates University (UAEU), Al Ain, United Arab Emirates","IEEE Access","28 Apr 2020","2020","8","","72757","72767","Managing a dynamic traffic system is a challenging task in vehicular environments. Clarity of vehicular data for efficient decision making is vital in Intelligent Transportation Systems (ITS). Huge volumes of vehicular data are collected and processed during vehicular transactions. Pre-processing the huge amounts of raw vehicular data followed by framing effective traffic rules to take appropriate rapid decisions by the ITS on the vehicles continues to be a challenging problem. Most of the current studies done on ITS have proposed decision making strategies to handle only specific vehicular events and many lacked framing intelligent dynamic decision rules along with appropriate actions, representing all traffic events prevailing in the vehicular environment. This study proposes a versatile decision engine implanted with a two-stage mechanism. In the first stage, we propose a novel data cleaning algorithm to identify and remove dirty data from the voluminous vehicular dataset. In the second stage, a unique rule framing mechanism is suggested to frame dynamic traffic rules along with their actions using real-time vehicular data. The vehicular entities take suitable decisions to respond to the traffic events based on these rules and their associated actions. A new Naïve Bayesian classifier is proposed in this study to test the new rule framed with the trained rules set, either to accept or reject the new rule for further processing. The algorithms are developed and implemented using machine learning concepts. Experimental and comparative analysis was carried out with other related referred studies to evaluate the performance of the proposed algorithms. Although the proposed decision engine is generic enough for decision making in most ITS use-cases, discussion in this article elaborates on its applicability in use-cases provisioning trust management.","2169-3536","","10.1109/ACCESS.2020.2987414","Roadway Transportation and Traffic Safety Research Center (RTTSRC) of the United Arab Emirates University(grant numbers:31R151); Abu Dhabi Department of Education and Knowledge (ADEK)(grant numbers:AARE18-114); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9064528","Vehicular networks;artificial intelligence;data pre-processing;rule framing;trust management","Vehicle dynamics;Cleaning;Engines;Decision making;Heuristic algorithms;Task analysis","","3","","22","CCBY","13 Apr 2020","","","IEEE","IEEE Journals"
"Trustworthy AI Development Guidelines for Human System Interaction","C. S. Wickramasinghe; D. L. Marino; J. Grandio; M. Manic","Virginia Commonwealth University, Richmond, Virginia; Virginia Commonwealth University, Richmond, Virginia; Virginia Commonwealth University, Richmond, Virginia; Virginia Commonwealth University, Richmond, Virginia","2020 13th International Conference on Human System Interaction (HSI)","17 Jul 2020","2020","","","130","136","Artificial Intelligence (AI) is influencing almost all areas of human life. Even though these AI-based systems frequently provide state-of-the-art performance, humans still hesitate to develop, deploy, and use AI systems. The main reason for this is the lack of trust in AI systems caused by the deficiency of transparency of existing AI systems. As a solution, “Trustworthy AI” research area merged with the goal of defining guidelines and frameworks for improving user trust in AI systems, allowing humans to use them without fear. While trust in AI is an active area of research, very little work exists where the focus is to build human trust to improve the interactions between human and AI systems. In this paper, we provide a concise survey on concepts of trustworthy AI. Further, we present trustworthy AI development guidelines for improving the user trust to enhance the interactions between AI systems and humans, that happen during the AI system life cycle.","2158-2254","978-1-7281-7392-4","10.1109/HSI49210.2020.9142644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9142644","Trustworthy AI;Transparency;Explainable AI;Human System Interactions;Human Machine Interactions;AI Life Cycle","Artificial intelligence;Guidelines;Data models;Organizations;Robustness;Optimization;Testing","","20","","32","IEEE","17 Jul 2020","","","IEEE","IEEE Conferences"
